"filename", "language", "TypeScript", "JSON with Comments", "TypeScript React", "XML", "CSS", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\manta\Desktop\0\Jamify\Frontend\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 1, 30
"c:\Users\manta\Desktop\0\Jamify\Frontend\.prettierrc", "JSON", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\manta\Desktop\0\Jamify\Frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\manta\Desktop\0\Jamify\Frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 30024, 0, 0, 0, 0, 1, 30025
"c:\Users\manta\Desktop\0\Jamify\Frontend\package.json", "JSON", 0, 0, 0, 0, 0, 93, 0, 0, 0, 3, 0, 96
"c:\Users\manta\Desktop\0\Jamify\Frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\manta\Desktop\0\Jamify\Frontend\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\api\api-endpoints.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\deezer-artists\artist-cards.tsx", "TypeScript React", 0, 0, 73, 0, 0, 0, 0, 0, 0, 1, 14, 88
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\deezer-artists\carousel-items.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\deezer-artists\deezer-artists.tsx", "TypeScript React", 0, 0, 271, 0, 0, 0, 0, 0, 0, 2, 18, 291
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\deezer-artists\deezer-playlists.tsx", "TypeScript React", 0, 0, 72, 0, 0, 0, 0, 0, 0, 3, 14, 89
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\deezer-artists\deezer-tracks.tsx", "TypeScript React", 0, 0, 148, 0, 0, 0, 0, 0, 0, 1, 18, 167
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\deezer-artists\deezer.styles.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 120
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\deezer-artists\styles.css", "CSS", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 6, 82
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\dialog-content\fontFamily.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\dialog-content\header-settings-dialog-deezer.tsx", "TypeScript React", 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 27, 203
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\dialog-content\header-settings-dialog-spotify.tsx", "TypeScript React", 0, 0, 144, 0, 0, 0, 0, 0, 0, 2, 26, 172
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\dialog-content\header-settings-dialog-youtube.tsx", "TypeScript React", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 26, 197
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\dialog-content\settings.styles.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 78
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\artists-mapped.tsx", "TypeScript React", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 13, 84
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\carousel-items.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\featured-artists.tsx", "TypeScript React", 0, 0, 89, 0, 0, 0, 0, 0, 0, 1, 16, 106
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\featured-card.tsx", "TypeScript React", 0, 0, 87, 0, 0, 0, 0, 0, 0, 4, 17, 108
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\featured-playlists.tsx", "TypeScript React", 0, 0, 325, 0, 0, 0, 0, 0, 0, 0, 25, 350
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\featured-tracks.tsx", "TypeScript React", 0, 0, 119, 0, 0, 0, 0, 0, 0, 1, 17, 137
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\featured.styles.ts", "TypeScript", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 140
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\styles.css", "CSS", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 6, 82
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\tabs-panels.tsx", "TypeScript React", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\header\deezer-icon-svg.tsx", "TypeScript React", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\header\fontFamily.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\header\header-account-menu.tsx", "TypeScript React", 0, 0, 136, 0, 0, 0, 0, 0, 0, 15, 26, 177
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\header\header-component.tsx", "TypeScript React", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 24, 152
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\header\header-settings-dialog.tsx", "TypeScript React", 0, 0, 378, 0, 0, 0, 0, 0, 0, 0, 31, 409
