Date : 2022-04-19 22:35:30
Directory : c:\Users\manta\Desktop\0\Jamify\Frontend
Total : 145 files,  42926 codes, 674 comments, 1830 blanks, all 45430 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |     30,151 |          3 |          3 |     30,157 |
| TypeScript React   |         77 |      9,942 |        161 |      1,437 |     11,540 |
| TypeScript         |         42 |      2,421 |        485 |        335 |      3,241 |
| CSS                |         17 |        339 |          2 |         51 |        392 |
| JavaScript         |          1 |         29 |          0 |          1 |         30 |
| JSON with Comments |          1 |         22 |          0 |          1 |         23 |
| HTML               |          1 |         20 |         23 |          1 |         44 |
| XML                |          1 |          1 |          0 |          0 |          1 |
| Markdown           |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        145 |     42,926 |        674 |      1,830 |     45,430 |
| public                                                                                                            |          2 |         45 |         23 |          2 |         70 |
| src                                                                                                               |        130 |     12,262 |        648 |      1,736 |     14,646 |
| src\api                                                                                                           |          1 |         55 |          0 |          8 |         63 |
| src\app                                                                                                           |        101 |     10,994 |        162 |      1,488 |     12,644 |
| src\app\Home                                                                                                      |         31 |      3,180 |         33 |        403 |      3,616 |
| src\app\Home\deezer-artists                                                                                       |          7 |        757 |          7 |         83 |        847 |
| src\app\Home\dialog-content                                                                                       |          5 |        562 |          2 |         88 |        652 |
| src\app\Home\featured-playlists                                                                                   |          9 |        927 |          6 |        110 |      1,043 |
| src\app\Home\header                                                                                               |          7 |        747 |         15 |         90 |        852 |
| src\app\artist                                                                                                    |          8 |        689 |          3 |         98 |        790 |
| src\app\dashboard                                                                                                 |          4 |        306 |          1 |         31 |        338 |
| src\app\errors                                                                                                    |          1 |          6 |          0 |          2 |          8 |
| src\app\explore                                                                                                   |          8 |        564 |          3 |         93 |        660 |
| src\app\loader                                                                                                    |          2 |         31 |          0 |          4 |         35 |
| src\app\me                                                                                                        |          6 |        607 |          9 |         71 |        687 |
| src\app\notification                                                                                              |          2 |         13 |          0 |          4 |         17 |
| src\app\player                                                                                                    |          2 |        514 |          3 |         74 |        591 |
| src\app\routes                                                                                                    |          3 |         96 |         77 |         16 |        189 |
| src\app\search                                                                                                    |          8 |        657 |          0 |         94 |        751 |
| src\app\search\search-mapped                                                                                      |          3 |        189 |          0 |         38 |        227 |
| src\app\spotify-playlist                                                                                          |         17 |      3,459 |         21 |        480 |      3,960 |
| src\app\spotify-playlist\playlists-dialog                                                                         |          6 |      1,330 |          7 |        178 |      1,515 |
